Date	Month	Day	Macon Q (cfs)	Bluff Q est (cfs)
10/1/1942	10	01	44	12.6
10/2/1942	10	02	44	12.6
10/3/1942	10	03	45	12.9
10/4/1942	10	04	46	13.2
10/5/1942	10	05	46	13.2
10/6/1942	10	06	44	12.6
10/7/1942	10	07	42	12.0
10/8/1942	10	08	43	12.3
10/9/1942	10	09	42	12.0
10/10/1942	10	10	40	11.5
10/11/1942	10	11	42	12.0
10/12/1942	10	12	42	12.0
10/13/1942	10	13	42	12.0
10/14/1942	10	14	40	11.5
10/15/1942	10	15	41	11.7
10/16/1942	10	16	41	11.7
10/17/1942	10	17	42	12.0
10/18/1942	10	18	39	11.2
10/19/1942	10	19	39	11.2
10/20/1942	10	20	38	10.9
10/21/1942	10	21	38	10.9
10/22/1942	10	22	38	10.9
10/23/1942	10	23	40	11.5
10/24/1942	10	24	40	11.5
10/25/1942	10	25	42	12.0
10/26/1942	10	26	42	12.0
10/27/1942	10	27	46	13.2
10/28/1942	10	28	49	14.0
10/29/1942	10	29	42	12.0
10/30/1942	10	30	42	12.0
10/31/1942	10	31	52	14.9
11/1/1942	11	01	50	14.3
11/2/1942	11	02	73	20.9
11/3/1942	11	03	66	18.9
11/4/1942	11	04	53	15.2
11/5/1942	11	05	52	14.9
11/6/1942	11	06	71	20.3
11/7/1942	11	07	69	19.8
11/8/1942	11	08	61	17.5
11/9/1942	11	09	58	16.6
11/10/1942	11	10	55	15.8
11/11/1942	11	11	53	15.2
11/12/1942	11	12	53	15.2
11/13/1942	11	13	52	14.9
11/14/1942	11	14	53	15.2
11/15/1942	11	15	53	15.2
11/16/1942	11	16	52	14.9
11/17/1942	11	17	52	14.9
11/18/1942	11	18	52	14.9
11/19/1942	11	19	53	15.2
11/20/1942	11	20	53	15.2
11/21/1942	11	21	53	15.2
11/22/1942	11	22	52	14.9
11/23/1942	11	23	53	15.2
11/24/1942	11	24	53	15.2
11/25/1942	11	25	53	15.2
11/26/1942	11	26	52	14.9
11/27/1942	11	27	52	14.9
11/28/1942	11	28	52	14.9
11/29/1942	11	29	54	15.5
11/30/1942	11	30	55	15.8
12/1/1942	12	01	63	18.0
12/2/1942	12	02	62	17.8
12/3/1942	12	03	62	17.8
12/4/1942	12	04	64	18.3
12/5/1942	12	05	65	18.6
12/6/1942	12	06	65	18.6
12/7/1942	12	07	70	20.1
12/8/1942	12	08	81	23.2
12/9/1942	12	09	92	26.4
12/10/1942	12	10	78	22.3
12/11/1942	12	11	74	21.2
12/12/1942	12	12	78	22.3
12/13/1942	12	13	78	22.3
12/14/1942	12	14	75	21.5
12/15/1942	12	15	70	20.1
12/16/1942	12	16	73	20.9
12/17/1942	12	17	74	21.2
12/18/1942	12	18	89	25.5
12/19/1942	12	19	74	21.2
12/20/1942	12	20	66	18.9
12/21/1942	12	21	63	18.0
12/22/1942	12	22	71	20.3
12/23/1942	12	23	76	21.8
12/24/1942	12	24	82	23.5
12/25/1942	12	25	78	22.3
12/26/1942	12	26	71	20.3
12/27/1942	12	27	379	108.6
12/28/1942	12	28	2460	704.7
12/29/1942	12	29	1690	484.1
12/30/1942	12	30	860	246.4
12/31/1942	12	31	630	180.5
1/1/1943	01	01	580	166.1
1/2/1943	01	02	410	117.4
1/3/1943	01	03	290	83.1
1/4/1943	01	04	231	66.2
1/5/1943	01	05	189	54.1
1/6/1943	01	06	150	43.0
1/7/1943	01	07	136	39.0
1/8/1943	01	08	141	40.4
1/9/1943	01	09	152	43.5
1/10/1943	01	10	132	37.8
1/11/1943	01	11	113	32.4
1/12/1943	01	12	108	30.9
1/13/1943	01	13	107	30.7
1/14/1943	01	14	101	28.9
1/15/1943	01	15	94	26.9
1/16/1943	01	16	89	25.5
1/17/1943	01	17	85	24.3
1/18/1943	01	18	362	103.7
1/19/1943	01	19	340	97.4
1/20/1943	01	20	212	60.7
1/21/1943	01	21	126	36.1
1/22/1943	01	22	103	29.5
1/23/1943	01	23	95	27.2
1/24/1943	01	24	94	26.9
1/25/1943	01	25	89	25.5
1/26/1943	01	26	90	25.8
1/27/1943	01	27	127	36.4
1/28/1943	01	28	132	37.8
1/29/1943	01	29	108	30.9
1/30/1943	01	30	97	27.8
1/31/1943	01	31	90	25.8
2/1/1943	02	01	86	24.6
2/2/1943	02	02	83	23.8
2/3/1943	02	03	80	22.9
2/4/1943	02	04	93	26.6
2/5/1943	02	05	480	137.5
2/6/1943	02	06	1290	369.5
2/7/1943	02	07	1110	318.0
2/8/1943	02	08	840	240.6
2/9/1943	02	09	680	194.8
2/10/1943	02	10	500	143.2
2/11/1943	02	11	450	128.9
2/12/1943	02	12	340	97.4
2/13/1943	02	13	270	77.3
2/14/1943	02	14	221	63.3
2/15/1943	02	15	189	54.1
2/16/1943	02	16	162	46.4
2/17/1943	02	17	141	40.4
2/18/1943	02	18	130	37.2
2/19/1943	02	19	122	34.9
2/20/1943	02	20	117	33.5
2/21/1943	02	21	114	32.7
2/22/1943	02	22	112	32.1
2/23/1943	02	23	111	31.8
2/24/1943	02	24	104	29.8
2/25/1943	02	25	100	28.6
2/26/1943	02	26	98	28.1
2/27/1943	02	27	94	26.9
2/28/1943	02	28	89	25.5
3/1/1943	03	01	166	47.6
3/2/1943	03	02	218	62.4
3/3/1943	03	03	207	59.3
3/4/1943	03	04	162	46.4
3/5/1943	03	05	147	42.1
3/6/1943	03	06	194	55.6
3/7/1943	03	07	209	59.9
3/8/1943	03	08	210	60.2
3/9/1943	03	09	214	61.3
3/10/1943	03	10	212	60.7
3/11/1943	03	11	200	57.3
3/12/1943	03	12	1170	335.2
3/13/1943	03	13	2050	587.2
3/14/1943	03	14	2050	587.2
3/15/1943	03	15	1600	458.3
3/16/1943	03	16	1470	421.1
3/17/1943	03	17	2390	684.6
3/18/1943	03	18	1960	561.5
3/19/1943	03	19	1380	395.3
3/20/1943	03	20	3640	1042.7
3/21/1943	03	21	5020	1438.0
3/22/1943	03	22	5650	1618.5
3/23/1943	03	23	5270	1509.6
3/24/1943	03	24	4230	1211.7
3/25/1943	03	25	3010	862.2
3/26/1943	03	26	2100	601.6
3/27/1943	03	27	2580	739.1
3/28/1943	03	28	2100	601.6
3/29/1943	03	29	1400	401.0
3/30/1943	03	30	1260	360.9
3/31/1943	03	31	1080	309.4
4/1/1943	04	01	710	203.4
4/2/1943	04	02	510	146.1
4/3/1943	04	03	420	120.3
4/4/1943	04	04	350	100.3
4/5/1943	04	05	310	88.8
4/6/1943	04	06	280	80.2
4/7/1943	04	07	251	71.9
4/8/1943	04	08	229	65.6
4/9/1943	04	09	242	69.3
4/10/1943	04	10	390	111.7
4/11/1943	04	11	555	159.0
4/12/1943	04	12	480	137.5
4/13/1943	04	13	500	143.2
4/14/1943	04	14	400	114.6
4/15/1943	04	15	310	88.8
4/16/1943	04	16	270	77.3
4/17/1943	04	17	240	68.8
4/18/1943	04	18	706	202.2
4/19/1943	04	19	2120	607.3
4/20/1943	04	20	1620	464.1
4/21/1943	04	21	630	180.5
4/22/1943	04	22	420	120.3
4/23/1943	04	23	350	100.3
4/24/1943	04	24	300	85.9
4/25/1943	04	25	261	74.8
4/26/1943	04	26	223	63.9
4/27/1943	04	27	196	56.1
4/28/1943	04	28	173	49.6
4/29/1943	04	29	154	44.1
4/30/1943	04	30	138	39.5
5/1/1943	05	01	122	34.9
5/2/1943	05	02	108	30.9
5/3/1943	05	03	98	28.1
5/4/1943	05	04	89	25.5
5/5/1943	05	05	83	23.8
5/6/1943	05	06	77	22.1
5/7/1943	05	07	74	21.2
5/8/1943	05	08	72	20.6
5/9/1943	05	09	79	22.6
5/10/1943	05	10	81	23.2
5/11/1943	05	11	74	21.2
5/12/1943	05	12	70	20.1
5/13/1943	05	13	89	25.5
5/14/1943	05	14	112	32.1
5/15/1943	05	15	111	31.8
5/16/1943	05	16	98	28.1
5/17/1943	05	17	82	23.5
5/18/1943	05	18	72	20.6
5/19/1943	05	19	68	19.5
5/20/1943	05	20	62	17.8
5/21/1943	05	21	59	16.9
5/22/1943	05	22	54	15.5
5/23/1943	05	23	67	19.2
5/24/1943	05	24	320	91.7
5/25/1943	05	25	1020	292.2
5/26/1943	05	26	900	257.8
5/27/1943	05	27	450	128.9
5/28/1943	05	28	400	114.6
5/29/1943	05	29	320	91.7
5/30/1943	05	30	242	69.3
5/31/1943	05	31	227	65.0
6/1/1943	06	01	251	71.9
6/2/1943	06	02	185	53.0
6/3/1943	06	03	132	37.8
6/4/1943	06	04	104	29.8
6/5/1943	06	05	87	24.9
6/6/1943	06	06	77	22.1
6/7/1943	06	07	69	19.8
6/8/1943	06	08	62	17.8
6/9/1943	06	09	60	17.2
6/10/1943	06	10	58	16.6
6/11/1943	06	11	57	16.3
6/12/1943	06	12	66	18.9
6/13/1943	06	13	78	22.3
6/14/1943	06	14	67	19.2
6/15/1943	06	15	56	16.0
6/16/1943	06	16	47	13.5
6/17/1943	06	17	46	13.2
6/18/1943	06	18	44	12.6
6/19/1943	06	19	42	12.0
6/20/1943	06	20	46	13.2
6/21/1943	06	21	44	12.6
6/22/1943	06	22	41	11.7
6/23/1943	06	23	40	11.5
6/24/1943	06	24	45	12.9
6/25/1943	06	25	51	14.6
6/26/1943	06	26	39	11.2
6/27/1943	06	27	38	10.9
6/28/1943	06	28	39	11.2
6/29/1943	06	29	34	9.7
6/30/1943	06	30	36	10.3
7/1/1943	07	01	42	12.0
7/2/1943	07	02	39	11.2
7/3/1943	07	03	38	10.9
7/4/1943	07	04	62	17.8
7/5/1943	07	05	98	28.1
7/6/1943	07	06	62	17.8
7/7/1943	07	07	46	13.2
7/8/1943	07	08	41	11.7
7/9/1943	07	09	46	13.2
7/10/1943	07	10	37	10.6
7/11/1943	07	11	35	10.0
7/12/1943	07	12	40	11.5
7/13/1943	07	13	48	13.8
7/14/1943	07	14	64	18.3
7/15/1943	07	15	56	16.0
7/16/1943	07	16	103	29.5
7/17/1943	07	17	56	16.0
7/18/1943	07	18	47	13.5
7/19/1943	07	19	47	13.5
7/20/1943	07	20	76	21.8
7/21/1943	07	21	69	19.8
7/22/1943	07	22	107	30.7
7/23/1943	07	23	79	22.6
7/24/1943	07	24	60	17.2
7/25/1943	07	25	55	15.8
7/26/1943	07	26	47	13.5
7/27/1943	07	27	50	14.3
7/28/1943	07	28	45	12.9
7/29/1943	07	29	39	11.2
7/30/1943	07	30	38	10.9
7/31/1943	07	31	36	10.3
8/1/1943	08	01	32	9.2
8/2/1943	08	02	95	27.2
8/3/1943	08	03	57	16.3
8/4/1943	08	04	89	25.5
8/5/1943	08	05	74	21.2
8/6/1943	08	06	43	12.3
8/7/1943	08	07	44	12.6
8/8/1943	08	08	48	13.8
8/9/1943	08	09	33	9.5
8/10/1943	08	10	33	9.5
8/11/1943	08	11	32	9.2
8/12/1943	08	12	32	9.2
8/13/1943	08	13	34	9.7
8/14/1943	08	14	32	9.2
8/15/1943	08	15	28	8.0
8/16/1943	08	16	28	8.0
8/17/1943	08	17	32	9.2
8/18/1943	08	18	34	9.7
8/19/1943	08	19	27	7.7
8/20/1943	08	20	26	7.4
8/21/1943	08	21	25	7.2
8/22/1943	08	22	26	7.4
8/23/1943	08	23	27	7.7
8/24/1943	08	24	26	7.4
8/25/1943	08	25	24	6.9
8/26/1943	08	26	23	6.6
8/27/1943	08	27	24	6.9
8/28/1943	08	28	24	6.9
8/29/1943	08	29	26	7.4
8/30/1943	08	30	25	7.2
8/31/1943	08	31	28	8.0
9/1/1943	09	01	25	7.2
9/2/1943	09	02	24	6.9
9/3/1943	09	03	26	7.4
9/4/1943	09	04	28	8.0
9/5/1943	09	05	30	8.6
9/6/1943	09	06	121	34.7
9/7/1943	09	07	74	21.2
9/8/1943	09	08	66	18.9
9/9/1943	09	09	46	13.2
9/10/1943	09	10	50	14.3
9/11/1943	09	11	54	15.5
9/12/1943	09	12	44	12.6
9/13/1943	09	13	40	11.5
9/14/1943	09	14	35	10.0
9/15/1943	09	15	32	9.2
9/16/1943	09	16	32	9.2
9/17/1943	09	17	32	9.2
9/18/1943	09	18	36	10.3
9/19/1943	09	19	38	10.9
9/20/1943	09	20	36	10.3
9/21/1943	09	21	49	14.0
9/22/1943	09	22	60	17.2
9/23/1943	09	23	58	16.6
9/24/1943	09	24	48	13.8
9/25/1943	09	25	46	13.2
9/26/1943	09	26	61	17.5
9/27/1943	09	27	54	15.5
9/28/1943	09	28	46	13.2
9/29/1943	09	29	42	12.0
9/30/1943	09	30	39	11.2
